id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
111,Maxwell Lord IV (New Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Living Characters,218.0,"1987, May",1987.0
112,Jeb Stuart (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,218.0,"1961, May",1961.0
113,Damian Wayne (Prime Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,216.0,"1987, September",1987.0
114,Big Barda (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,216.0,"1971, October",1971.0
115,Niles Caulder (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,214.0,"1963, June",1963.0
116,James Corrigan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,214.0,"1940, February",1940.0
117,Samuel Bradley (New Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Living Characters,213.0,"1937, March",1937.0
118,Richard Tyler (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,212.0,"1985, November",1985.0
119,James Ewell Brown Stuart (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,212.0,"1961, May",1961.0
120,Todd Rice (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,208.0,"1983, September",1983.0
121,Yz (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,207.0,"1940, January",1940.0
122,Matrix (Pocket Universe),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,206.0,"1988, April",1988.0
123,Wolfgang Winks (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,206.0,"1942, November",1942.0
124,William Glenmorgan (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,199.0,"1940, June",1940.0
125,Stephanie Brown (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,198.0,"1992, August",1992.0
126,Raymond Terrill (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,192.0,"1992, February",1992.0
127,Adam Blake (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Living Characters,191.0,"1951, June",1951.0
128,Kimiyo Hoshi (New Earth),Secret Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,189.0,"1985, July",1985.0
129,Jack Ryder (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,188.0,"1968, April",1968.0
130,Vandar Adg (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,188.0,"1943, December",1943.0
131,Justin Arthur (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,184.0,"1941, September",1941.0
132,Max Mercury (New Earth),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,183.0,"1940, November",1940.0
133,Abigail Arcane (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,182.0,"1973, January",1973.0
134,Thomas Haukins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,181.0,"1947, June",1947.0
135,Travis Morgan (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,180.0,"1975, November",1975.0
136,Margaret Sawyer (New Earth),Public Identity,Unknown or None,Blue Eyes,Unknown or None,Living Characters,180.0,"1987, April",1987.0
137,Waylon Jones (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,180.0,"1983, March",1983.0
138,Gorilla Grodd (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Living Characters,179.0,"1959, May",1959.0
139,Adam Strange (New Earth),Public Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,177.0,"1958, December",1958.0
140,Patrick Dugan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,177.0,"1941, October",1941.0
141,Talia al Ghul (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,177.0,"1971, May",1971.0
142,James Harper Clone (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,176.0,"1971, January",1971.0
143,Thomas Kalmaku (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,176.0,"1960, October",1960.0
144,Daniel Cassidy (New Earth),Secret Identity,Good Characters,Yellow Eyes,Unknown or None,Living Characters,176.0,"1984, June",1984.0
145,Gabrielle Doe (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,175.0,"1983, July",1983.0
146,Henry Hall (New Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Living Characters,175.0,"1968, June",1968.0
147,Cyrus Gold (New Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Deceased Characters,174.0,"1944, October",1944.0
148,Linda Park (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,174.0,"1989, July",1989.0
149,Connor Hawke (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,174.0,"1994, October",1994.0
150,Edward Nashton (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,173.0,"1988, January",1988.0
151,Arisia Rrab (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Living Characters,173.0,"1981, May",1981.0
152,Joan Williams (New Earth),Public Identity,Unknown or None,Blue Eyes,Grey Hair,Living Characters,171.0,"1940, January",1940.0
153,Robert Crane (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,171.0,"1942, April",1942.0
154,William Magnus (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,170.0,"1962, April",1962.0
155,Mary Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,168.0,"1995, April",1995.0
156,Jean Loring (New Earth),Public Identity,Bad Characters,Green Eyes,Black Hair,Deceased Characters,168.0,"1961, October",1961.0
157,Oberon (New Earth),Public Identity,Unknown or None,Blue Eyes,White Hair,Living Characters,167.0,"1971, April",1971.0
158,Grant Emerson (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,166.0,"1994, April",1994.0
159,Rita Farr (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,166.0,"1963, June",1963.0
160,Hector Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,165.0,"1983, September",1983.0
161,Jason Rusch (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,165.0,"2004, July",2004.0
162,Mercury (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,165.0,"1962, April",1962.0
163,Daniel Leong (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,164.0,"1942, February",1942.0
164,Jaime Reyes (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,164.0,"2006, February",2006.0
165,Platinum (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,164.0,"1962, April",1962.0
166,Andre Chavard (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,164.0,"1942, June",1942.0
167,"Roy Raymond, Sr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,163.0,"1949, November",1949.0
168,Vril Dox II (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,163.0,"1964, February",1964.0
169,Uncle Sam (New Earth),Secret Identity,Unknown or None,Blue Eyes,White Hair,Living Characters,162.0,"1940, July",1940.0
170,Lucas Carr (New Earth),Public Identity,Unknown or None,Blue Eyes,Brown Hair,Living Characters,161.0,"1960, March",1960.0
171,Metron (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Deceased Characters,161.0,"1971, March",1971.0
172,Iron (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,161.0,"1962, April",1962.0
173,Lead (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,161.0,"1962, April",1962.0
174,Hartley Rathaway (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,160.0,"1959, May",1959.0
175,Lana Lang (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,159.0,"1986, October",1986.0
176,DeSaad (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,158.0,"1971, May",1971.0
177,Charles Taine (Pre-Zero Hour),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,158.0,"1961, May",1961.0
178,Rose Wilson (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,158.0,"1992, October",1992.0
179,Bane (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,157.0,"1993, January",1993.0
180,Tin (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,155.0,"1962, April",1962.0
181,Samuel Morgan (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Deceased Characters,155.0,"1937, March",1937.0
182,Salakk (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,155.0,"1982, February",1982.0
183,Eve Eden (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,154.0,"1966, September",1966.0
184,Harleen Quinzel (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,153.0,"1999, October",1999.0
185,Benjamin Turner (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,153.0,"1975, May",1975.0
186,Mark Mardon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,152.0,"1960, January",1960.0
187,Teth-Adam (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,152.0,"1945, December",1945.0
188,Catherine Grant (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,151.0,"1987, January",1987.0
189,Terrence Sloane (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,151.0,"1942, January",1942.0
190,Jason Blood (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,148.0,"1972, September",1972.0
191,Gold (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,147.0,"1962, April",1962.0
192,Victor Fries (New Earth),Secret Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,143.0,"1959, February",1959.0
193,Arthur Light (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,142.0,"1962, June",1962.0
194,Thomas Wayne (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,142.0,"1987, February",1987.0
195,Lester Davis (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,142.0,"1957, February",1957.0
196,Alanna Strange (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,141.0,"1958, December",1958.0
197,Artemis of Bana-Mighdall (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,141.0,"1994, September",1994.0
198,Nuidis Vulko (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,140.0,"1967, September",1967.0
199,Steven Dayton (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,140.0,"1964, November",1964.0
200,Lee Travis (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,139.0,"1938, October",1938.0
201,Solis (New Earth),Secret Identity,Unknown or None,Blue Eyes,Strawberry Blond Hair,Living Characters,138.0,"1971, March",1971.0
202,Martin Stein (New Earth),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Deceased Characters,138.0,"1978, March",1978.0
203,Alfred Twidgett (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,137.0,"1942, June",1942.0
204,Tubby Watts (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Living Characters,137.0,"1941, September",1941.0
205,Unknown Soldier I (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,136.0,"1970, July",1970.0
206,Giovanni Giuseppe (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Deceased Characters,136.0,"1960, July",1960.0
207,Victoria Vale (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,134.0,"1948, October",1948.0
208,Cynthia Reynolds (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,134.0,"1984, October",1984.0
209,Lucius Fox (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,133.0,"1979, January",1979.0
210,Ganthet (New Earth),Public Identity,Good Characters,Green Eyes,White Hair,Living Characters,132.0,1992.0,1992.0
211,Izaya (New Earth),Public Identity,Good Characters,Grey Eyes,White Hair,Deceased Characters,132.0,"1971, March",1971.0
212,Matthew Ryan (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,131.0,"1957, February",1957.0
213,Mick Rory (New Earth),Public Identity,Unknown or None,Blue Eyes,Unknown or None,Living Characters,131.0,"1963, November",1963.0
214,Dinah Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,131.0,"1947, August",1947.0
215,Rory Regan (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,131.0,"1976, September",1976.0
216,Kyle Morgan (New Earth),Public Identity,Good Characters,Brown Eyes,Blond Hair,Living Characters,131.0,"1957, February",1957.0
217,Barbara Ann Minerva (New Earth),Public Identity,Unknown or None,Brown Eyes,Unknown or None,Living Characters,131.0,"1987, August",1987.0
